KHACHHANG_ID,NGAY,UP,DOWN,NGAY_THANHLY,THANHLY
5645,4/14/2023,0,5,5/31/2023,1
5645,4/17/2023,0,3,5/31/2023,1
5645,4/18/2023,0,15,5/31/2023,1
5645,4/19/2023,0,17,5/31/2023,1
5645,4/20/2023,0,5,5/31/2023,1
5645,4/21/2023,0,3,5/31/2023,1
5645,4/23/2023,0,0,5/31/2023,1
5645,4/24/2023,0,12,5/31/2023,1
5645,4/25/2023,0,6,5/31/2023,1
5645,4/26/2023,2,7,5/31/2023,1
5645,4/27/2023,0,5,5/31/2023,1
5645,4/28/2023,1,9,5/31/2023,1
5645,5/4/2023,0,11,5/31/2023,1
5645,5/5/2023,0,4,5/31/2023,1
5645,5/8/2023,0,13,5/31/2023,1
5645,5/9/2023,0,4,5/31/2023,1
5645,5/10/2023,0,10,5/31/2023,1
5645,5/11/2023,0,5,5/31/2023,1
5645,5/12/2023,0,10,5/31/2023,1
5645,5/15/2023,0,13,5/31/2023,1
5645,5/16/2023,0,11,5/31/2023,1
5715,12/31/2022,0,0,1/30/2023,1
5715,1/26/2023,0,0,1/30/2023,1
5715,1/27/2023,0,0,1/30/2023,1
5715,1/28/2023,0,0,1/30/2023,1
5715,1/29/2023,0,0,1/30/2023,1
5715,1/30/2023,0,0,1/30/2023,1
8169,12/31/2022,10,200,5/5/2023,1
8169,1/3/2023,2,72,5/5/2023,1
8169,1/8/2023,0,10,5/5/2023,1
8169,1/9/2023,0,2,5/5/2023,1
8169,1/31/2023,6,72,5/5/2023,1
8169,2/23/2023,0,0,5/5/2023,1
8169,2/24/2023,0,0,5/5/2023,1
8169,2/26/2023,0,0,5/5/2023,1
8169,2/27/2023,0,0,5/5/2023,1
8169,3/4/2023,0,0,5/5/2023,1
8169,3/5/2023,0,0,5/5/2023,1
8169,3/21/2023,0,0,5/5/2023,1
8169,3/23/2023,0,0,5/5/2023,1
8169,3/26/2023,0,0,5/5/2023,1
8169,3/27/2023,0,0,5/5/2023,1
8169,3/28/2023,0,0,5/5/2023,1
8169,4/4/2023,0,0,5/5/2023,1
8169,4/6/2023,0,0,5/5/2023,1
8169,4/7/2023,0,0,5/5/2023,1
8169,4/8/2023,0,0,5/5/2023,1
8169,4/21/2023,0,0,5/5/2023,1
8169,4/22/2023,0,0,5/5/2023,1
8169,4/23/2023,0,0,5/5/2023,1
8169,4/24/2023,0,0,5/5/2023,1
11206,12/31/2022,12,452,6/19/2023,1
11206,1/4/2023,0,6,6/19/2023,1
11206,1/5/2023,2,40,6/19/2023,1
11515,12/31/2022,0,0,2/28/2023,1
11515,1/1/2023,0,0,2/28/2023,1
11515,1/2/2023,0,0,2/28/2023,1
11515,1/3/2023,0,3,2/28/2023,1
11515,1/4/2023,0,6,2/28/2023,1
11515,1/5/2023,0,6,2/28/2023,1
11515,1/6/2023,0,3,2/28/2023,1
11515,1/7/2023,0,0,2/28/2023,1
11515,1/8/2023,0,0,2/28/2023,1
11515,1/9/2023,0,6,2/28/2023,1
11515,1/10/2023,0,6,2/28/2023,1
11515,1/11/2023,0,6,2/28/2023,1
11515,1/12/2023,0,6,2/28/2023,1
11515,1/13/2023,0,3,2/28/2023,1
11515,1/14/2023,0,0,2/28/2023,1
11515,1/15/2023,0,0,2/28/2023,1
11515,1/16/2023,0,6,2/28/2023,1
11515,1/17/2023,0,9,2/28/2023,1
11515,1/18/2023,0,3,2/28/2023,1
11515,1/19/2023,0,6,2/28/2023,1
11515,1/20/2023,0,0,2/28/2023,1
11515,1/21/2023,0,0,2/28/2023,1
11515,1/22/2023,0,0,2/28/2023,1
11515,1/23/2023,0,0,2/28/2023,1
11515,1/24/2023,0,0,2/28/2023,1
11515,1/25/2023,0,0,2/28/2023,1
11515,1/26/2023,0,0,2/28/2023,1
11515,1/27/2023,0,0,2/28/2023,1
11515,1/28/2023,0,0,2/28/2023,1
11515,1/29/2023,0,0,2/28/2023,1
11515,1/30/2023,0,12,2/28/2023,1
11515,1/31/2023,0,6,2/28/2023,1
11515,2/1/2023,0,9,2/28/2023,1
11515,2/2/2023,0,9,2/28/2023,1
11515,2/3/2023,0,6,2/28/2023,1
11515,2/4/2023,0,0,2/28/2023,1
11515,2/5/2023,0,0,2/28/2023,1
11515,2/6/2023,0,12,2/28/2023,1
11515,2/7/2023,0,9,2/28/2023,1
11515,2/8/2023,0,9,2/28/2023,1
11515,2/9/2023,0,9,2/28/2023,1
11515,2/10/2023,0,6,2/28/2023,1
11515,2/11/2023,0,0,2/28/2023,1
11515,2/12/2023,0,0,2/28/2023,1
11515,2/13/2023,0,9,2/28/2023,1
11515,2/14/2023,0,15,2/28/2023,1
11515,2/15/2023,0,9,2/28/2023,1
11515,2/16/2023,0,9,2/28/2023,1
11515,2/17/2023,0,15,2/28/2023,1
11515,2/18/2023,0,0,2/28/2023,1
11515,2/19/2023,0,0,2/28/2023,1
11515,2/20/2023,0,6,2/28/2023,1
11515,2/21/2023,0,12,2/28/2023,1
11515,2/22/2023,0,9,2/28/2023,1
11515,2/23/2023,0,6,2/28/2023,1
11515,2/24/2023,0,6,2/28/2023,1
11515,2/25/2023,0,3,2/28/2023,1
11515,2/26/2023,0,0,2/28/2023,1
11515,2/27/2023,0,3,2/28/2023,1
11515,2/28/2023,0,12,2/28/2023,1
11515,3/1/2023,0,3,2/28/2023,1
11515,3/2/2023,0,9,2/28/2023,1
11515,3/3/2023,0,9,2/28/2023,1
11515,3/4/2023,0,6,2/28/2023,1
11515,3/5/2023,0,0,2/28/2023,1
11515,3/6/2023,0,9,2/28/2023,1
11515,3/7/2023,0,9,2/28/2023,1
11515,3/8/2023,0,6,2/28/2023,1
11515,3/9/2023,0,9,2/28/2023,1
11515,3/10/2023,0,15,2/28/2023,1
11515,3/11/2023,0,3,2/28/2023,1
11515,3/12/2023,0,0,2/28/2023,1
11515,3/13/2023,0,6,2/28/2023,1
11515,3/14/2023,0,6,2/28/2023,1
11515,3/15/2023,0,15,2/28/2023,1
11515,3/16/2023,0,6,2/28/2023,1
11515,3/17/2023,0,6,2/28/2023,1
11515,3/18/2023,0,0,2/28/2023,1
11515,3/19/2023,0,0,2/28/2023,1
11515,3/20/2023,0,6,2/28/2023,1
11515,3/21/2023,0,6,2/28/2023,1
11515,3/22/2023,0,3,2/28/2023,1
11515,3/23/2023,0,15,2/28/2023,1
11515,3/24/2023,0,9,2/28/2023,1
11515,3/25/2023,0,0,2/28/2023,1
11515,3/26/2023,0,0,2/28/2023,1
11515,3/27/2023,3,6,2/28/2023,1
11515,3/28/2023,0,6,2/28/2023,1
11515,3/29/2023,0,6,2/28/2023,1
11515,3/30/2023,0,9,2/28/2023,1
11515,3/31/2023,0,12,2/28/2023,1
11515,4/1/2023,0,0,2/28/2023,1
11515,4/2/2023,0,0,2/28/2023,1
11515,4/3/2023,0,9,2/28/2023,1
11515,4/4/2023,0,9,2/28/2023,1
11515,4/5/2023,0,3,2/28/2023,1
11515,4/6/2023,0,9,2/28/2023,1
11515,4/7/2023,0,12,2/28/2023,1
11515,4/8/2023,0,3,2/28/2023,1
11515,4/9/2023,0,0,2/28/2023,1
11515,4/10/2023,0,6,2/28/2023,1
11515,4/11/2023,0,6,2/28/2023,1
11515,4/12/2023,0,9,2/28/2023,1
11515,4/13/2023,0,12,2/28/2023,1
11515,4/14/2023,0,9,2/28/2023,1
11515,4/15/2023,0,0,2/28/2023,1
11515,4/16/2023,0,0,2/28/2023,1
11515,4/17/2023,0,9,2/28/2023,1
11515,4/18/2023,0,9,2/28/2023,1
11515,4/19/2023,0,9,2/28/2023,1
11515,4/20/2023,0,9,2/28/2023,1
11515,4/21/2023,0,6,2/28/2023,1
11515,4/22/2023,0,0,2/28/2023,1
11515,4/23/2023,0,0,2/28/2023,1
11515,4/24/2023,0,15,2/28/2023,1
11515,4/25/2023,0,9,2/28/2023,1
11515,4/26/2023,0,9,2/28/2023,1
11515,4/27/2023,0,6,2/28/2023,1
11515,4/28/2023,0,9,2/28/2023,1
11515,4/30/2023,0,0,2/28/2023,1
11515,5/1/2023,0,0,2/28/2023,1
11515,5/2/2023,0,0,2/28/2023,1
11515,5/3/2023,0,0,2/28/2023,1
11515,5/4/2023,0,6,2/28/2023,1
11515,5/5/2023,0,3,2/28/2023,1
11515,5/6/2023,0,3,2/28/2023,1
11515,5/7/2023,0,0,2/28/2023,1
11515,5/8/2023,0,9,2/28/2023,1
11515,5/9/2023,0,12,2/28/2023,1
11515,5/10/2023,0,9,2/28/2023,1
11515,5/11/2023,0,12,2/28/2023,1
11515,5/12/2023,0,12,2/28/2023,1
12863,12/31/2022,2,54,4/22/2023,1
12863,1/1/2023,0,0,4/22/2023,1
12863,1/2/2023,0,0,4/22/2023,1
12863,1/3/2023,0,4,4/22/2023,1
12863,1/4/2023,0,2,4/22/2023,1
12863,1/5/2023,2,82,4/22/2023,1
12863,1/6/2023,0,6,4/22/2023,1
12863,1/8/2023,0,0,4/22/2023,1
12863,1/9/2023,0,6,4/22/2023,1
12863,1/10/2023,0,4,4/22/2023,1
12863,1/11/2023,0,8,4/22/2023,1
12863,1/12/2023,6,142,4/22/2023,1
12863,1/13/2023,0,2,4/22/2023,1
12863,1/14/2023,0,0,4/22/2023,1
12863,1/16/2023,0,2,4/22/2023,1
12863,1/17/2023,0,0,4/22/2023,1
12863,1/18/2023,0,4,4/22/2023,1
12863,1/19/2023,0,34,4/22/2023,1
12863,1/21/2023,0,0,4/22/2023,1
12863,1/22/2023,0,0,4/22/2023,1
12863,1/23/2023,0,4,4/22/2023,1
12863,1/24/2023,0,2,4/22/2023,1
12863,1/26/2023,2,56,4/22/2023,1
12863,1/27/2023,0,8,4/22/2023,1
12863,1/30/2023,0,4,4/22/2023,1
12863,1/31/2023,2,58,4/22/2023,1
